"","DNUM_IC","ASUNTO","MESES_CONSUMO","IMPORTE_ACUMULADO","IMPORTE_ULTIMO_MES","ULTIMO_MES","TIPO_AMPARO"
"248",1500030785,141456,16,23828444.73,5044700.93,202505,"MAC"
"249",1500259513,134187,8,23746122.6,7290.31,202510,"MAC"
"250",1003652379,121258,6,23257160.76,3876193.46,202509,"MAC"
"251",2000167099,125285,6,23257160.76,3876193.46,202509,"MAC"
"252",2000100818,122315,9,22879431.85,604477.03,202405,"MAC"
"253",2000855843,128229,2,22797661.1,12200728.28,202412,"MAC"
"254",2000954143,131735,10,21969686.12,17666939.9,202502,"MAC"
"255",1002518698,126646,15,21894487.78,1655834.51,202509,"MAC"
"256",1002830682,133395,20,21209483.36,3180432.07,202509,"MAC"
"257",2002132740,133184,7,20979003.57,6986173.51,202509,"MAC"
"258",2001198470,131102,16,20882636.85,3778201.13,202507,"MAC"
"259",2000121794,129778,9,20743437.46,5074683.79,202411,"MAC"
"260",1500631539,124080,12,20389644.36,1611905.08,202507,"MAC"
"261",2001831601,128622,12,19889947.88,3876193.46,202509,"MAC"
"262",2001330043,135309,8,19789880.38,3876193.46,202507,"MAC"
"263",2003527397,118124,8,19543075.66,30.35,202508,"MAC"
"264",1003597568,126038,7,19131363.26,3180432.07,202505,"MAC"
"265",1002610547,138721,25,19036758.75,671922.33,202510,"MAC"
"266",2002153394,131398,5,17120062.75,5572784.18,202503,"MAC"
"267",2001922734,140656,7,16383943,15631194.64,202509,"MAC"
"268",2000575746,122867,16,15231819.56,122293.13,202507,"MAC"
"269",2000980951,82595,28,15010208.92,536078.89,202509,"MAC"
"270",1002528797,104148,15,14231191.4,619441.95,202509,"MAC"
"271",1500421772,127014,7,13744357.86,1606850.04,202505,"MAC"
"272",1500351975,109282,25,13602994.21,268039.45,202509,"MAC"
"273",2001710450,139242,17,13025666.32,26398.88,202509,"MAC"
"274",2000729665,133546,3,12451151.01,6234933.43,202508,"MAC"
"275",2000241998,108553,11,12169183.12,2501752.37,202508,"MAC"
"276",1500023004,130639,3,11846309.15,11699353.5,202501,"MAC"
"277",1500391509,131430,1,11127173.44,11127173.44,202411,"MAC"
"278",2000648953,113285,8,10852004.4,290384.66,202312,"MAC"
"279",1002725229,139159,7,10221205.35,1678870.59,202506,"MAC"
"280",2000526198,108284,25,9984461.76,402059.17,202509,"MAC"
"281",2001080518,113544,20,9812645.66,536078.89,202509,"MAC"
"282",2003632559,108482,26,9716376.51,402059.17,202509,"MAC"
"283",1502461014,117387,10,9437286.8,21648,202510,"MAC"
"284",1002691335,87468,20,9312660.09,21987.07,202506,"MAC"
"285",1002373855,135779,3,9173892,1266817.77,202508,"MAC"
"286",1000620850,135343,16,9070595.21,1147890.72,202509,"MAC"
"287",1002323229,120719,12,8794510.84,1144331.06,202506,"MAC"
"288",2000078109,131301,14,8634742.87,355574.88,202507,"MAC"
"289",2000623019,123918,15,8395994.98,1072157.78,202509,"MAC"
"290",2002050276,103514,2,8371946.04,562494.12,202312,"MAC"
"291",2002462019,127184,11,8056628.35,81871.34,202507,"MAC"
"292",2001357834,122482,12,8041152.82,536078.89,202509,"MAC"
"293",2000024000,122466,10,7979318.32,77423.86,202509,"MAC"
"294",1002746927,118037,26,7940810.57,43654.49,202509,"MAC"
"295",1000439906,134441,9,7760390.88,1282194.8,202501,"MAC"
"296",1500042949,138547,1,7752386.92,7752386.92,202508,"MAC"
"297",2001006857,139147,2,7752386.92,3876193.46,202509,"MAC"
"298",1002949783,130497,8,7441379.72,78164.49,202509,"MAC"
"299",1002294116,113198,22,7020045.46,525281.11,202509,"MAC"
"300",2003237741,122378,14,7005028.37,2839.53,202508,"MAC"
"301",1500319189,109600,25,6586876.39,268024.18,202509,"MAC"
"302",1000648606,125696,11,6502095.32,90805.11,202504,"MAC"
"303",2000333252,121262,13,6030887.55,402059.17,202509,"MAC"
"304",1002601507,126575,13,5933427.16,679577.43,202510,"MAC"
"305",2003026422,122321,7,5673048.69,73150.06,202412,"MAC"
"306",2000600534,141003,4,5488053.36,9977.68,202510,"MAC"
"307",2001014397,137984,4,5460742.74,5212135.74,202507,"MAC"
"308",1002794987,137504,6,5395124.69,2417857.62,202510,"MAC"
"309",1002915172,124065,12,5237834.92,536078.89,202508,"MAC"
"310",2001842363,119058,6,4487791.75,1724323.53,202503,"MAC"
"311",2000656705,141260,4,4326801.43,2224475.56,202509,"MAC"
"312",2000143621,139569,3,4227298.56,3876193.46,202509,"MAC"
"313",2000922001,119612,4,4170307.52,490946.36,202506,"MAC"
"314",1502931061,121727,13,4024738.23,268039.45,202509,"MAC"
"315",1500241026,110620,20,3892748.74,311506.93,202508,"MAC"
"316",2000686328,121315,10,3862869.89,536078.89,202509,"MAC"
"317",2000957872,128860,8,3637664.38,536078.89,202509,"MAC"
"318",1002970380,131800,9,3541332.96,536078.89,202509,"MAC"
"319",1002768480,126685,9,3500418.08,13625.74,202410,"MAC"
"320",1002398923,123428,12,3484512.82,402059.17,202509,"MAC"
"321",1500182847,130694,7,3350386.26,536078.89,202508,"MAC"
"322",2000759196,122418,5,3216473.34,536078.89,202508,"MAC"
"323",2002176884,131840,7,3216427.56,536078.89,202509,"MAC"
"324",1500004493,139360,9,2989625.94,54802.49,202505,"MAC"
"325",1000667592,130945,5,2580832.53,856385,202507,"MAC"
"326",2001513614,141630,3,2173763.06,811322.11,202508,"MAC"
"327",1500514141,134970,6,1943764.42,323726.32,202509,"MAC"
"328",1003651010,117819,7,1876062.44,268008.92,202506,"MAC"
"329",1502291303,119707,16,1820430.7,7652.81,202510,"MAC"
"330",2001196306,116585,16,1742210.58,134019.72,202509,"MAC"
"331",1500466864,98849,22,1715537.02,73150.06,202507,"MAC"
"332",1100004425,120054,9,1676925.23,201021.95,202509,"MAC"
